store,lat,long,gpsens,trsens,traffic,sales,gp,avgprice,yoysales,yoyq,yoygp,yoyavgp,yoygc
GOLD CREEK ACT,-35.190007,149.082196,high,sensitive,1362,12770.68154,9512.887268,3.7494,0.0748,0.16225862,0.0579,-0.0752,0.010387835
GOLDEN GROVE,-34.79065,138.69617,high,sensitive,1670,16308.43538,12092.98629,3.5024,0.0354,0.135201961,0.0147,-0.0879,-0.01710984
GOODNA,-27.607971,152.896486,right,not sensitive,1970,20795.50563,15240.25639,3.393,0.0966,0.246168037,0.0572,-0.12,-0.016193276
GOONDIWINDI,-28.546715,150.32357,high,not sensitive,1226,12764.08139,9454.344792,3.7068,-0.0592,0.016493385,-0.0892,-0.0744,-0.147470354
GOONELLABAH,-28.821526,153.327861,right,sensitive,823,8701.616672,6437.595204,3.2196,0.0938,0.215590526,0.071,-0.1002,0.056586217
GORDON,-33.755314,151.152774,right,not sensitive,811,8266.958096,6163.293692,3.6572,-0.0208,0.050386038,-0.0385,-0.0678,-0.040671329
GORDONVALE,-17.084996,145.776028,low,not sensitive,1283,14226.06932,10640.88642,3.4687,-0.0545,0.072495945,-0.0764,-0.1184,-0.145693502
GOSFORD IMPERIAL,-33.425582,151.343754,right,not sensitive,351,3646.8243,2707.791448,3.0844,-0.1156,-0.069115757,-0.1225,-0.0499,-0.150027042
GOSFORD WEST,-33.427185,151.3247,low,not sensitive,2922,28187.78629,21133.94885,3.6223,-0.0021,0.078397477,-0.0202,-0.0747,-0.14484283
GOULBURN,-34.747623,149.747541,high,sensitive,1626,16074.92058,11962.17385,3.7475,-0.0075,0.074679813,-0.0311,-0.0764,-0.088599526
GOULBURN SOUTH,-34.774692,149.692098,high,sensitive,3191,31491.17905,23725.12518,3.8458,0.023,0.104791737,0.0039,-0.0741,-0.097012203
GRACEMERE,-23.43238,150.453949,right,sensitive,1228,12915.58476,9608.574448,3.5146,0,0,0,0,0
GRAFTON,-29.707946,152.943752,high,sensitive,2868,27150.20817,20359.66015,3.6425,-0.0354,0.086245339,-0.0591,-0.112,-0.117540889
GRAFTON SHOPPING WORLD,-29.692683,152.933879,right,sensitive,387,5074.43576,3731.22374,2.899,0.006,0.155644242,-0.0105,-0.1295,-0.369968051
GRAND CENTRAL,-27.560962,151.949526,high,sensitive,481,5701.541988,4272.048472,3.3447,-0.0879,0.0874825,-0.1171,-0.1613,-0.031333411
GRAND PLAZA,-27.662938,153.04086,high,sensitive,682,8869.8484,6484.200244,3.1009,0.0122,0.18604145,-0.0216,-0.1466,-0.20883158
